"Категория 1";"Категория 2";"Категория 3";"Категория 4";Артикул;Заголовок;Цена;Розничная;Валюта;Наличие;Описание;Изображения;Вес;Габариты;Производитель;"Ссылка на товар";ID;Размер;Модель;Рост;Сезон;"Тип ткани";;"обхват груди";"обхват талии";"обхват бедер";"обхват рукава";"Измерения (см)";Платье;"Ширина на уровне груди";"Ширина на уровне талии";"Ширина на уровне бедер";"Длина спинки";"Длина рукава";"Ширина рукава на уровне глубины оката";"Ширина рукава по низу";"Длина спинки до талии - гипюр";Блузка;"Ширина на уровнн глубины проймы";"Ширина рукава н уровне глубины оката";"Длина рукава с манжетой";Брюки;"Ширина по линии талии";"Ширина по линии бедер";"Длина по боковому шву";"Ширина на уровне колена";"Ширина внизу";"Ширина на уровне глубины проймы";"Длина по боковому шву с поясом";Юбка
"Платья и Сарафаны";;;;0300891310;"Платье Solei 3687 пудра";1999;2890;RUB;"В наличии";"Платье полуприлегающего силуэта с округлым вырезом горловины,спинка со средним швом, в котором обработаны застёжка на одну навесную петлю и одну пуговицу со сборкой в области талии на широкую резинку и притачными деталями пояса, в&nbsp;боковых швах обработаны карманы и разрезы. Рукава втачные двухшовные с высокими разрезами по переднему шву с небольшим расстоянием по низу.
Длина в 46р - 108см, 56р - 116см";https://pawlina.ru/image/catalog/brands/bazalini2021/3687p1.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-3687-pudra;0300891310;"42;44;46;48;50;52;54;56";"Солеи 3687 пудра";"170 см (девушка на фото ростом 170см)";весна-лето;"60% хлопок, 40% полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;976389020;"Платье Solei 3686 розовый";1999;2890;RUB;"В наличии";"Стильное платье из фактурного хлопкового полотна, со свободным кроем лифа и юбки, но акцентированной талией в виде сборок на тонких резинках, с округлым вырезом горловины и спущенной линией плеча. Перед с центральной застежкой на пуговицы.&nbsp;Платье дополняется поясом из основной ткани.&nbsp;
Длина платья в 48р - 111см.&nbsp;";https://pawlina.ru/image/catalog/3686probnik.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-3686-rozovij;976389020;"42;44;46;48;50;52";"Солеи 3686 розовый";"170 см (девушка на фото ростом 170см)";Весна-Лето;"60% хлопок, 40% п/э";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;395810171;"Платье Solei 3685 пудра";2099;2990;RUB;"В наличии";"Платье А-образного силуэта из мягкого фактурного хлопкового полотна с V-образным вырезом горловины по переду и овальным по спинке.
В среднем шве переда обработаны декоративная застежка на навесные петли и пуговицы и разрез.
Спинка со средним швом.
Рукава втачные со сборкой по низу .
Платье дополняется поясом из основной ткани.
Длина в 50р - 110см, рукав - 25см
Длина в 54р - 112см, рукав - 27см";https://pawlina.ru/image/catalog/brands/bazalini-18-19/3685-1.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-bazalini-3685-pudra-;395810171;"48;50;52;54;56";"Солеи 3685 пудра";"170 см (девушка на фото ростом 170см)";весна-лето;"60% хлопок, 40% полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;1291149389;"Платье Solei 4538 розовый";1799;2590;RUB;"В наличии";"Несмотря на лаконичный крой, это миди-платье непременно окажется в центре внимания, благодаря некоторым ярким элементам. Для создания модели с V-образным вырезом горловины и с укороченными полупрозрачными рукавами со сборкой по низу и притачными манжетами с отделочными пуговицами выбрали лёгкую струящуюся ткань с интересным дизайном. Взгляд к платью приковывает пояс , который красиво подчёркивает талию и помогает создать приталенный силуэт.
Длина платья в 46р - 101см, рукав - 49см. <br>Длина платья в 54р - 104см, рукав - 50см.&nbsp;";https://pawlina.ru/image/catalog/brands/bazalini2023/4538rozovyjrazvod2.jpg;;;"Bazalini (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4538-rozovij;1291149389;"42;44;46;48;50;52";"Солеи 4538 розовый";"170 см (девушка на фото ростом 170см)";"Весна - Лето";"100% полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;364572354;"Платье Lady Line 544 горчица горох";1599;2290;RUB;"В наличии";"Легкое струящееся платье, отрезное по линии талии на резинке, с округлым вырезом горловины. В боковых швах обработаны функциональные карманы.&nbsp;Платье лёгкое, свободное. Данная модель станет незаменимым вариантом, который сочетает в себе стиль и комфорт одновременно.&nbsp;
Ремень в комплект не входит.";https://pawlina.ru/image/catalog/brands/lady-line-21/544gorchica.jpg;;;"Lady Line (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lady-line-544-gorchica-goroh;364572354;"46;50";"Леди Лайн 544 горчица горох";"164 см (рост модели на фото 170см)";Весна-Лето;"100% Полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01145342651;"Платье Lady Line 544 бежевый горох";1599;2290;RUB;"В наличии";"Легкое струящееся платье, отрезное по линии талии на резинке, с округлым вырезом горловины. В боковых швах обработаны функциональные карманы.&nbsp;Платье лёгкое, свободное. Данная модель станет незаменимым вариантом, который сочетает в себе стиль и комфорт одновременно.&nbsp;
Ремень в комплект не входит.";https://pawlina.ru/image/catalog/brands/lady-line-21/544bezhevyj.jpg;;;"Lady Line (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lady-line-544-bezhevij-goroh;01145342651;"46;48;50";"Леди Лайн 544 бежевый горох";"164 см (рост модели на фото 170см)";Весна-Лето;"100% Полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;1666403683;"Платье Lady Line 544 синий горох";1599;2290;RUB;"В наличии";"Легкое струящееся платье, отрезное по линии талии на резинке, с округлым вырезом горловины. В боковых швах обработаны функциональные карманы.&nbsp;Платье лёгкое, свободное. Данная модель станет незаменимым вариантом, который сочетает в себе стиль и комфорт одновременно.&nbsp;
Ремень в комплект не входит.";https://pawlina.ru/image/catalog/brands/lady-line-21/544sinij2.jpg;;;"Lady Line (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lady-line-544-sinij-goroh;1666403683;"48;50";"Леди Лайн 544 синий горох";"164 см (рост модели на фото 170см)";Весна-Лето;"100% Полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;0678479619;"Платье Lady Line 544 розовый горох";1599;2290;RUB;"В наличии";"Легкое струящееся платье, отрезное по линии талии на резинке, с округлым вырезом горловины. В боковых швах обработаны функциональные карманы.&nbsp;Платье лёгкое, свободное. Данная модель станет незаменимым вариантом, который сочетает в себе стиль и комфорт одновременно.&nbsp;
Ремень в комплект не входит.";https://pawlina.ru/image/catalog/brands/lady-line-21/544rozovyj3.jpg;;;"Lady Line (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lady-line-544-rozovij-goroh;0678479619;"46;50";"Леди Лайн 544 розовый горох";"164 см (рост модели на фото 170см)";Весна-Лето;"100% Полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01167618828;"Платье Lady Line 544 голубой горох";1599;2290;RUB;"В наличии";"Легкое струящееся платье, отрезное по линии талии на резинке, с округлым вырезом горловины. В боковых швах обработаны функциональные карманы.&nbsp;Платье лёгкое, свободное. Данная модель станет незаменимым вариантом, который сочетает в себе стиль и комфорт одновременно.&nbsp;
Ремень в комплект не входит.";https://pawlina.ru/image/catalog/brands/lady-line-21/544goluboj.jpg;;;"Lady Line (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lady-line-544-goluboj-goroh;01167618828;48;"Леди Лайн 544 голубой горох";"164 см (рост модели на фото 170см)";Весна-Лето;"100% Полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;1889110727;"Платье Lady Line 544 мята горох";1599;2290;RUB;"В наличии";"Легкое струящееся платье, отрезное по линии талии на резинке, с округлым вырезом горловины. В боковых швах обработаны функциональные карманы.&nbsp;Платье лёгкое, свободное. Данная модель станет незаменимым вариантом, который сочетает в себе стиль и комфорт одновременно.&nbsp;
Ремень в комплект не входит.";https://pawlina.ru/image/catalog/brands/lady-line-21/544mjata3.jpg;;;"Lady Line (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lady-line-544-mjata-goroh;1889110727;46;"Леди Лайн 544 мята горох";"164 см (рост модели на фото 170см)";Весна-Лето;"100% Полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
